Nazwa Gminy; Liczba Hexagonów
Konstancin-Jeziorna;192
Bulkowo;296
Gąbin;374
Warszawa;1267
Baborów;273
Dobrzyniewo Duże;401
Oława;64
Łabiszyn;450
Gąsawa;359
Ruda Śląska;179
Świętochłowice;30
Bestwina;87
Sawin;433
Mircze;518
Pszczew;483
Reńska Wieś;226
Stalowa Wola;189
Zawady;278
Zabłudów;822
Rajgród;512
Świebodzice;75
Stolno;260
Cybinka;759
Nowe Miasto;298
Czerwińsk nad Wisłą;354
Piastów;13
Kamiennik;209
Pakosławice;174
Gorzyce;155
Solina;383
Radziłów;497
Dubicze Cerkiewne;365
Kolno;474
Grabowo;317
Żarów;220
Strumień;137
Koniecpol;342
Świebodzin;614
Zbąszynek;258
Gorzkowice;238
Łęki Szlacheckie;259
Grabica;294
Wola Krzysztoporska;410
Wartkowice;352
Kłomnice;350
Rędziny;100
Białogard;955
Lubartów;365
Kock;233
Sulechów;631
Uniejów;325
Pęczniew;320
Pułtusk;331
Iłża;587
Strzelce Opolskie;473
Izbicko;206
Borzechów;159
Bełżyce;305
Bychawa;334
Niemce;325
Iłowa;404
Trzebielino;658
Wielgomłyny;287
Biała Rawska;505
Domanice;118
Kolonowskie;197
Gorlice;225
Lipinki;148
Ropa;105
Tuchomie;316
Czarne;656
Burzenin;291
Maków;211
Brzozów;221
Krzeszowice;315
Skała;172
Skawina;232
Szudziałowo;736
Szypliszki;392
Karnice;387
Rewal;125
Trąbki Wielkie;454
Cewice;529
Żelechlinek;226
Rokietnica;205
Chłopice;104
Zabierzów;220
Kołaki Kościelne;183
Zbiczno;350
Białe Błota;329
Kowalewo Pomorskie;372
Mieszkowice;679
Moryń;351
Męcinka;383
Gołuchów;343
Miłki;438
Dzierżoniów;348
Jastrzębie-Zdrój;196
Zebrzydowice;95
Cieszyn;71
Lipsk;453
Komańcza;826
Głogówek;413
Czorsztyn;130
Zawidów;18
Stronie Śląskie;354
Dąbrowa;288
Węgliniec;883
Czarnia;238
Rzekuń;327
Grajewo;46
Kobiór;112
Środa Wielkopolska;538
Gdańsk;751
Świnoujście;604
Jastarnia;31
Sulejów;442
Zbójna;473
Lipnica;876
Pilica;327
Jutrosin;283
Piekary Śląskie;94
Bejsce;132
Chęciny;299
Bodzentyn;368
Baćkowice;213
Kije;227
Gronowo Elbląskie;242
Staszów;525
Kalinowo;720
Jonkowo;451
Mrągowo;762
Kozłowo;664
Szydłowo;312
Ostrzeszów;467
Czermin;177
Dopiewo;279
Kostrzyn;404
Puszczykowo;42
Zagórów;403
Szamotuły;477
Orchowo;249
Turek;272
Przykona;277
Powidz;207
Tarnówka;366
Miłosław;343
Wolsztyn;655
Krzymów;236
Chodów;196
Czerniejewo;293
Łubowo;292
Trzemeszno;464
Okonek;911
Rudziniec;377
Sośnicowice;274
Koziegłowy;377
Lyski;130
Zbrosławice;353
Pszów;49
Bieruń;95
Lubomia;96
Marklowice;33
Chełm Śląski;49
Lipowa;126
Żywiec;110
Stare Babice;159
Grębków;310
Nowy Żmigród;229
Charsznica;189
Łasin;371
Dygowo;381
